Path: [9, 10, 11] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[9, 10, 11]])
Path: [11, 10, 9] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[11, 10, 9]])
Path: [10, 11, 12] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[10, 7, 12], [10, 11, 12]])
Path: [12, 11, 10] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[12, 7, 10], [12, 11, 10]])
Path: [2, 4, 6, 8] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[2, 4, 6, 8]])
Path: [8, 6, 4, 2] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[8, 6, 4, 2]])
Path: [2, 1, 12, 11] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[2, 1, 12, 11]])
Path: [11, 12, 1, 2] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[11, 12, 1, 2]])
Path: [3, 5, 6, 8] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[3, 5, 6, 8]])
Path: [8, 6, 5, 3] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[8, 6, 5, 3]])
Path: [3, 5, 7, 10] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[3, 5, 7, 10]])
Path: [10, 7, 5, 3] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[10, 7, 5, 3]])
Path: [4, 6, 5, 7] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[4, 6, 5, 7]])
Path: [7, 5, 6, 4] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[7, 5, 6, 4]])
